time,Week,Under65CovidDeaths,Over65CovidDeaths,Under65Infections,Over65Infections,Under65Cum,Over65Cum,Under65Active,Over65Active
0,5,0,0,0,0,0,0,0,0
7,6,1,0,133.333333333333,0,133.333333333333,0,133.333333333333,0
14,7,0,0,0,0,133.333333333333,0,133.333333333333,0
21,8,3,2,1737.25490196078,43.5335689045936,1870.58823529412,43.5335689045936,1737.25490196078,43.5335689045936
28,9,4,6,2500.78255517454,147.0629806693,4371.37079046865,190.596549573893,4238.03745713532,190.596549573893
35,10,7,28,4637.25490196078,521.222199127001,9008.62569242944,711.818748700894,7138.03745713532,668.2851797963
42,11,8,48,3748.43049327354,913.007690708792,12757.056185703,1624.82643940969,8385.68539523433,1434.22988983579
49,12,134,438,75126.8266948035,7945.29203907712,87883.8828805065,9570.1184784868,78875.257188077,8858.29972978591
56,13,875,2293,463931.548404115,41004.2735398046,551815.431284621,50574.3920182914,539058.375098918,48949.5655788817
63,14,2557,7478,1222041.94144025,133687.915194346,1773857.37272487,184262.307212638,1685973.48984437,174692.188734151
70,15,3471,12725,1469744.54409567,213313.614633132,3243601.91682054,397575.92184577,2691786.48553592,347001.529827479
77,16,3235,13848,1387908.12450541,216557.721887342,4631510.04132595,614133.643733112,2857652.66860107,429871.336520474
84,17,2757,12689,1104075.46821419,190421.525670339,5735585.50954014,804555.169403451,2491983.5927196,406979.24755768
91,18,2214,10941,956452.879627187,163176.528788194,6692038.38916733,967731.698191644,2060528.34784138,353598.054458533
98,19,1986,9191,836500.967203025,139717.821658699,7528539.35637035,1107449.51985034,1792953.84683021,302894.350446892
105,20,1640,7534,712004.730502066,111695.298274787,8240544.08687242,1219144.81812513,1548505.69770509,251413.119933486
112,21,1368,5819,597787.751692605,88604.6061109956,8838331.83856502,1307749.42423613,1309792.48219467,200299.904385783
119,22,1164,4957,503671.30044843,76754.7952608605,9342003.13901345,1384504.21949699,1101459.05214104,165359.401371856
126,23,1036,3966,487073.463466104,63331.5152774891,9829076.60247956,1447835.73477448,990744.763914535,140086.31053835
133,24,999,3204,491242.715202673,51590.0228642694,10320319.3176822,1499425.75763874,978316.178668777,114921.538141758
140,25,898,2914,429903.517101908,45827.3456661817,10750222.8347841,1545253.10330493,921146.232304581,97417.3685304511
147,26,942,2849,446533.887276884,46962.2365412596,11196756.722061,1592215.33984619,876437.404378792,92789.5822074413
154,27,1177,3306,661669.524311967,55919.3514861775,11858426.246373,1648134.69133236,1108203.41158885,102881.588027437
161,28,1507,4216,823366.147894135,73010.850135107,12681792.3942671,1721145.54146747,1485035.6722061,128930.201621284
168,29,1794,5305,933503.130220698,91901.9829557265,13615295.5244878,1813047.5244232,1756869.27811483,164912.833090834
175,30,1971,6142,975977.393827486,108668.734150904,14591272.9183153,1921716.2585741,1909480.52404818,200570.717106631
182,31,1949,6242,878317.207421085,109846.551652463,15469590.1257364,2031562.81022656,1854294.60124857,218515.285803367
189,32,1787,5960,806879.398575574,103887.308251923,16276469.524312,2135450.11847849,1685196.60599666,213733.859904386
196,33,1641,5461,748811.404202937,93682.0536271046,17025280.9285149,2229132.17210559,1555690.80277851,197569.361879027
203,34,1420,4773,629528.88419942,83577.5431303263,17654809.8127143,2312709.71523592,1378340.28840236,177259.596757431
210,35,1163,4315,476678.976523345,74453.519018915,18131488.7892377,2387163.23425483,1106207.86072276,158031.062149242
217,36,982,3716,408910.771124593,62296.1213884847,18540399.5603623,2449459.35564332,885589.747647937,136749.6404074
224,37,973,3294,442221.955508661,56918.9607150281,18982621.5158709,2506378.31635835,851132.726633254,119215.082103513
231,38,760,3089,328365.928075266,52303.5959260029,19310987.4439462,2558681.91228435,770587.883583926,109222.556641031
238,39,780,3054,342815.906093379,50714.1800041571,19653803.3500396,2609396.09228851,671181.834168643,103017.77593016
245,40,663,2959,289182.792578915,48235.4022032841,19942986.1426185,2657631.49449179,631998.698672291,98949.5822074413
252,41,704,3246,286527.301503561,52454.5416753274,20229513.444122,2710086.03616712,575710.094082475,100689.943878612
259,42,564,3130,197114.789413523,48317.0401163999,20426628.2335356,2758403.07628352,483642.090917084,100771.581791727
266,43,334,2266,125838.749670272,32381.6586988152,20552466.9832058,2790784.73498233,322953.539083794,80698.6988152154
273,44,64,406,30749.9868108678,6060.6776138017,20583216.9700167,2796845.41259613,156588.736481138,38442.3363126172
